loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2018-11-24 13:32:53.558 +0200,37,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.42798,0.00146484375,-0.2356719970703125,-0.9400634765625
2018-11-24 13:32:53.611 +0200,38,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.487522,-0.01068115234375,-0.219818115234375,-0.9546356201171876
2018-11-24 13:32:53.670 +0200,39,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.54706500002,0.0267486572265625,-0.217803955078125,-0.897674560546875
2018-11-24 13:32:53.730 +0200,40,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.606607,0.0063323974609375,-0.2197723388671875,-0.936767578125
2018-11-24 13:32:53.796 +0200,41,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.66615,-0.030364990234375,-0.238922119140625,-1.056411743164062
2018-11-24 13:32:53.851 +0200,42,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.72569300001,-0.022674560546875,-0.238006591796875,-1.004058837890625
2018-11-24 13:32:53.908 +0200,43,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.785235,0.0035552978515625,-0.3043670654296875,-0.9869384765625
2018-11-24 13:32:53.968 +0200,44,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.844778,-0.0003662109375,-0.2811737060546875,-0.9782257080078124
2018-11-24 13:32:54.034 +0200,45,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.90432,-0.00469970703125,-0.24273681640625,-0.982391357421875
2018-11-24 13:32:54.087 +0200,46,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.963863,0.0050048828125,-0.2427825927734375,-0.981597900390625
2018-11-24 13:32:54.147 +0200,47,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.02340499999,0.0022430419921875,-0.21075439453125,-0.8974456787109375
2018-11-24 13:32:54.206 +0200,48,1543059173.9998631,60.1840411825666,24.82890257614183,7.879089,2.97,6,5.0,141864.082948,0.0092315673828125,-0.177520751953125,-0.9083709716796876
