loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2018-11-24 14:07:13.095 +0200,1,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143922.964721,0.124359130859375,0.105255126953125,-1.003128051757812
2018-11-24 14:07:13.154 +0200,2,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.02426900002,0.1529998779296875,0.102081298828125,-0.99072265625
2018-11-24 14:07:13.215 +0200,3,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.0838171667,0.1490936279296875,0.1041107177734375,-1.007080078125
2018-11-24 14:07:13.274 +0200,4,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.1433651667,0.1395111083984375,0.09759521484375,-0.9999237060546876
2018-11-24 14:07:13.333 +0200,5,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.2029121667,0.1363525390625,0.0975494384765625,-1.002227783203125
2018-11-24 14:07:13.402 +0200,6,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.2624601667,0.169769287109375,0.106781005859375,-1.00018310546875
2018-11-24 14:07:13.452 +0200,7,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.3220071667,0.1593780517578125,0.0895538330078125,-1.007125854492188
2018-11-24 14:07:13.512 +0200,8,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.3815541667,0.1466827392578125,0.09375,-1.01422119140625
2018-11-24 14:07:13.571 +0200,9,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.4411021667,0.1483154296875,0.094635009765625,-0.973907470703125
2018-11-24 14:07:13.643 +0200,10,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.5006491667,0.145050048828125,0.0861358642578125,-0.9909820556640624
2018-11-24 14:07:13.690 +0200,11,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.5601971667,0.158721923828125,0.0863189697265625,-0.9961395263671876
2018-11-24 14:07:13.750 +0200,12,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.6197441667,0.1524505615234375,0.0751800537109375,-1.003250122070312
2018-11-24 14:07:13.809 +0200,13,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.6792921667,0.127105712890625,0.064239501953125,-0.988677978515625
2018-11-24 14:07:13.884 +0200,14,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.7388391667,0.1374969482421875,0.07415771484375,-1.009719848632812
2018-11-24 14:07:13.929 +0200,15,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.7983861667,0.1640625,0.079559326171875,-1.005584716796875
2018-11-24 14:07:13.988 +0200,16,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.8579341667,0.124420166015625,0.0892486572265625,-1.004989624023438
2018-11-24 14:07:14.048 +0200,17,1543061233.001122,60.16873209742845,24.80358428324089,0.4349303,4.53,4,5.0,143923.9174811667,0.1539459228515625,0.090179443359375,-1.01422119140625
2018-11-24 14:07:14.118 +0200,18,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143923.9770281667,0.16925048828125,0.0720062255859375,-1.00054931640625
2018-11-24 14:07:14.167 +0200,19,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.0365761667,0.1636505126953125,0.0749664306640625,-1.018341064453125
2018-11-24 14:07:14.226 +0200,20,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.09612275,0.1827392578125,0.077423095703125,-1.010711669921875
2018-11-24 14:07:14.286 +0200,21,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.15566975,0.18487548828125,0.0513916015625,-1.010284423828125
2018-11-24 14:07:14.355 +0200,22,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.21521775,0.189697265625,0.0472412109375,-1.0050048828125
2018-11-24 14:07:14.405 +0200,23,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.27476475,0.147674560546875,0.05450439453125,-1.00482177734375
2018-11-24 14:07:14.465 +0200,24,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.33431175,0.1045074462890625,0.0680389404296875,-0.9881591796875
2018-11-24 14:07:14.524 +0200,25,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.39385975,0.128631591796875,0.0511322021484375,-0.9674072265625
2018-11-24 14:07:14.601 +0200,26,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.45340675,0.1159210205078125,0.063629150390625,-0.9717254638671876
2018-11-24 14:07:14.643 +0200,27,1543061234.001126,60.168696180973356,24.803518569120023,0.3922932,3.4,4,5.0,143924.51295375,0.128204345703125,0.0657196044921875,-1.001937866210938
